datetime,lng,lat
 Wed Jun 10 18:00:58 +0000 2020,-2.236568,53.086421
 Wed Jun 10 18:01:00 +0000 2020,-2.23348,53.456952
 Wed Jun 10 18:01:03 +0000 2020,-74.419331,40.429227
 Wed Jun 10 18:01:04 +0000 2020,13.580087,42.851048
 Wed Jun 10 18:01:18 +0000 2020,-122.330602,47.614817
 Wed Jun 10 18:01:32 +0000 2020,-87.732013,41.833585
 Wed Jun 10 18:01:38 +0000 2020,-73.831187,40.670879
 Wed Jun 10 18:01:43 +0000 2020,75.747521,26.909683
 Wed Jun 10 18:01:49 +0000 2020,3.338605,6.493113
 Wed Jun 10 18:01:53 +0000 2020,-73.968542,40.780709
 Wed Jun 10 18:02:32 +0000 2020,86.352643,22.653346
 Wed Jun 10 18:02:46 +0000 2020,-111.791253,40.432286
 Wed Jun 10 18:03:10 +0000 2020,-123.095474,49.264579
 Wed Jun 10 18:03:41 +0000 2020,-2.58539,51.457877
 Wed Jun 10 18:03:43 +0000 2020,-74.066663,40.718001
 Wed Jun 10 18:04:16 +0000 2020,-73.95,40.65
 Wed Jun 10 18:04:20 +0000 2020,3.102275,50.436964
 Wed Jun 10 18:04:38 +0000 2020,123.846722,10.374833
 Wed Jun 10 18:05:00 +0000 2020,18.489061,-34.121657
 Wed Jun 10 18:05:05 +0000 2020,-94.675094,38.931549
 Wed Jun 10 18:05:06 +0000 2020,116.461236,40.24638
 Wed Jun 10 18:05:17 +0000 2020,-117.603783,34.045158
 Wed Jun 10 18:05:38 +0000 2020,-93.262046,44.97061
 Wed Jun 10 18:05:51 +0000 2020,-77.03705,38.90115
 Wed Jun 10 18:05:55 +0000 2020,-100,40
 Wed Jun 10 18:06:08 +0000 2020,-118.018856,33.975918
 Wed Jun 10 18:06:16 +0000 2020,-118.411907,34.020789
 Wed Jun 10 18:06:21 +0000 2020,-2.915427,53.419879
 Wed Jun 10 18:06:21 +0000 2020,-98.154267,19.032229
 Wed Jun 10 18:06:23 +0000 2020,-99.067996,40.6998
 Wed Jun 10 18:06:26 +0000 2020,-85.722346,38.195555
 Wed Jun 10 18:06:29 +0000 2020,-117.195485,34.492627
 Wed Jun 10 18:06:40 +0000 2020,-0.073953,51.291699
 Wed Jun 10 18:06:48 +0000 2020,-0.1094,51.5141
 Wed Jun 10 18:06:54 +0000 2020,-76.703255,37.278994
 Wed Jun 10 18:07:01 +0000 2020,-118.411907,34.020789
 Wed Jun 10 18:07:17 +0000 2020,-121.08762,38.896455
 Wed Jun 10 18:07:37 +0000 2020,-83.951966,10.36659
 Wed Jun 10 18:07:37 +0000 2020,-118.411907,34.020789
 Wed Jun 10 18:07:37 +0000 2020,-97.224318,32.860387
 Wed Jun 10 18:07:41 +0000 2020,-75.065745,39.879593
 Wed Jun 10 18:07:48 +0000 2020,3.642025,43.378133
 Wed Jun 10 18:07:49 +0000 2020,-79.420865,38.003376
 Wed Jun 10 18:07:50 +0000 2020,-82.330269,29.673172
 Wed Jun 10 18:08:07 +0000 2020,-118.018856,33.975918
 Wed Jun 10 18:08:13 +0000 2020,-82.672903,27.79572
 Wed Jun 10 18:08:21 +0000 2020,3.335205,6.689703
 Wed Jun 10 18:08:24 +0000 2020,-97.94072,29.88268
 Wed Jun 10 18:08:24 +0000 2020,-1.612222,6.693627
 Wed Jun 10 18:08:33 +0000 2020,-124.068894,44.424889
 Wed Jun 10 18:08:38 +0000 2020,32.545003,15.524413
 Wed Jun 10 18:08:41 +0000 2020,-117.104989,32.810012
 Wed Jun 10 18:08:46 +0000 2020,76.136631,10.543192
 Wed Jun 10 18:08:51 +0000 2020,-2.58539,51.457877
 Wed Jun 10 18:09:03 +0000 2020,-78.903355,38.070931
 Wed Jun 10 18:09:06 +0000 2020,-122.293288,47.723866
 Wed Jun 10 18:09:10 +0000 2020,-122.028841,37.266726
 Wed Jun 10 18:09:12 +0000 2020,-79.616073,43.555244
 Wed Jun 10 18:09:29 +0000 2020,-82.669467,40.36516
 Wed Jun 10 18:09:46 +0000 2020,-0.303148,39.23989
 Wed Jun 10 18:09:52 +0000 2020,0.089325,51.468402
 Wed Jun 10 18:09:57 +0000 2020,0.089325,51.468402
 Wed Jun 10 18:09:58 +0000 2020,27.968098,-26.276139
 Wed Jun 10 18:10:02 +0000 2020,0.089325,51.468402
 Wed Jun 10 18:09:59 +0000 2020,-120.146311,47.881007
 Wed Jun 10 18:10:28 +0000 2020,-0.982031,51.452524
 Wed Jun 10 18:10:32 +0000 2020,-121.36036,38.547542
 Wed Jun 10 18:10:44 +0000 2020,77.095086,28.638489
 Wed Jun 10 18:10:49 +0000 2020,-75.163019,39.952389
