datetime,lng,lat
 Wed Jun 10 23:41:28 +0000 2020,-118.48042,34.022688
 Wed Jun 10 23:41:42 +0000 2020,-83.804475,27.698682
 Wed Jun 10 23:41:53 +0000 2020,-122.630908,45.536402
 Wed Jun 10 23:41:54 +0000 2020,-100.076888,31.168893
 Wed Jun 10 23:41:55 +0000 2020,-83.173867,32.678207
 Wed Jun 10 23:42:01 +0000 2020,-122.218075,47.392311
 Wed Jun 10 23:42:03 +0000 2020,-0.335813,53.745006
 Wed Jun 10 23:42:17 +0000 2020,-118.411907,34.020789
 Wed Jun 10 23:42:27 +0000 2020,-115.287952,36.285847
 Wed Jun 10 23:43:07 +0000 2020,-84.266174,30.476216
 Wed Jun 10 23:43:11 +0000 2020,-73.968542,40.780709
 Wed Jun 10 23:43:39 +0000 2020,2.347003,48.858834
 Wed Jun 10 23:43:40 +0000 2020,-77.014398,38.898603
 Wed Jun 10 23:43:43 +0000 2020,-115.223125,36.232915
 Wed Jun 10 23:43:47 +0000 2020,-104.897597,39.587731
 Wed Jun 10 23:44:10 +0000 2020,-85.170051,41.086917
 Wed Jun 10 23:44:19 +0000 2020,-92.131274,34.751936
 Wed Jun 10 23:44:28 +0000 2020,-77.014398,38.898603
 Wed Jun 10 23:44:42 +0000 2020,-82.063569,26.695872
 Wed Jun 10 23:45:11 +0000 2020,-87.732013,41.833585
 Wed Jun 10 23:45:14 +0000 2020,-123.057833,49.246678
 Wed Jun 10 23:45:21 +0000 2020,-111.87048,40.872295
 Wed Jun 10 23:45:31 +0000 2020,-95.913642,36.109392
 Wed Jun 10 23:45:43 +0000 2020,-73.98609,40.752826
 Wed Jun 10 23:45:48 +0000 2020,-84.433106,33.767195
 Wed Jun 10 23:45:54 +0000 2020,-74.849933,10.958073
 Wed Jun 10 23:46:39 +0000 2020,-122.315851,47.629175
 Wed Jun 10 23:47:05 +0000 2020,-94.148022,36.335612
 Wed Jun 10 23:47:37 +0000 2020,-73.948775,40.655138
 Wed Jun 10 23:47:46 +0000 2020,-81.382695,40.885188
 Wed Jun 10 23:47:48 +0000 2020,-75.770041,42.746617
 Wed Jun 10 23:48:15 +0000 2020,-90.384364,38.57543
 Wed Jun 10 23:48:20 +0000 2020,-77.275953,18.115407
 Wed Jun 10 23:48:26 +0000 2020,-94.634584,38.986089
 Wed Jun 10 23:48:41 +0000 2020,7.253046,8.942483
 Wed Jun 10 23:48:57 +0000 2020,72.355499,30.864108
 Wed Jun 10 23:49:36 +0000 2020,-80.926628,33.63114
 Wed Jun 10 23:49:39 +0000 2020,-76.3617,39.5506
 Wed Jun 10 23:49:39 +0000 2020,-79.036229,43.782829
 Wed Jun 10 23:49:42 +0000 2020,-118.411907,34.020789
 Wed Jun 10 23:50:00 +0000 2020,-97.754724,30.323346
 Wed Jun 10 23:50:02 +0000 2020,-73.948775,40.655138
 Wed Jun 10 23:50:07 +0000 2020,152.993197,-27.382143
 Wed Jun 10 23:50:08 +0000 2020,-74.724323,40.073041
 Wed Jun 10 23:50:11 +0000 2020,-79.27257,43.629311
 Wed Jun 10 23:50:25 +0000 2020,145.053135,-37.972566
 Wed Jun 10 23:50:44 +0000 2020,-71.103453,42.118578
 Wed Jun 10 23:50:46 +0000 2020,-87.732013,41.833585
 Wed Jun 10 23:50:56 +0000 2020,-73.948775,40.655138
 Wed Jun 10 23:51:06 +0000 2020,-118.411907,34.020789
