datetime,lng,lat
 Wed Jun 10 05:23:08 +0000 2020,-82.985772,39.994684
 Wed Jun 10 05:23:22 +0000 2020,104.455135,0.899944
 Wed Jun 10 05:23:22 +0000 2020,-0.260915,51.344775
 Wed Jun 10 05:23:31 +0000 2020,36.80341,-1.16659
 Wed Jun 10 05:23:32 +0000 2020,-71.104136,42.446116
 Wed Jun 10 05:23:57 +0000 2020,-1.89064,52.493966
 Wed Jun 10 05:24:10 +0000 2020,-0.189289,51.410876
 Wed Jun 10 05:24:11 +0000 2020,-83.034363,42.669887
 Wed Jun 10 05:24:21 +0000 2020,-1.449612,53.383164
 Wed Jun 10 05:24:32 +0000 2020,-118.411907,34.020789
 Wed Jun 10 05:24:50 +0000 2020,35.849514,33.873365
 Wed Jun 10 05:24:50 +0000 2020,-105.605821,41.308163
 Wed Jun 10 05:25:24 +0000 2020,-96.063634,36.090902
 Wed Jun 10 05:25:30 +0000 2020,-73.933721,40.644027
 Wed Jun 10 05:25:38 +0000 2020,-82.063185,33.440717
 Wed Jun 10 05:25:52 +0000 2020,-91.401008,30.937336
 Wed Jun 10 05:26:09 +0000 2020,-112.379447,33.646654
 Wed Jun 10 05:26:28 +0000 2020,-88.009557,42.894304
 Wed Jun 10 05:26:54 +0000 2020,-122.805579,45.484892
 Wed Jun 10 05:26:55 +0000 2020,-71.088712,42.31367
 Wed Jun 10 05:26:57 +0000 2020,-119.228992,34.289689
 Wed Jun 10 05:27:01 +0000 2020,-87.997808,42.011932
 Wed Jun 10 05:27:01 +0000 2020,72.874244,19.17414
 Wed Jun 10 05:27:02 +0000 2020,-75.619213,6.270883
 Wed Jun 10 05:27:11 +0000 2020,36.86362,-1.274863
 Wed Jun 10 05:27:20 +0000 2020,-112.124676,33.552863
 Wed Jun 10 05:27:25 +0000 2020,10.608773,44.803387
 Wed Jun 10 05:27:44 +0000 2020,-106.632718,35.117002
 Wed Jun 10 05:28:17 +0000 2020,-121.4947,38.577
 Wed Jun 10 05:28:28 +0000 2020,-84.433106,33.767195
 Wed Jun 10 05:28:30 +0000 2020,-93.340756,45.108096
 Wed Jun 10 05:28:49 +0000 2020,-73.93387,41.633449
 Wed Jun 10 05:28:51 +0000 2020,-73.933721,40.644027
 Wed Jun 10 05:28:55 +0000 2020,-0.260915,51.344775
 Wed Jun 10 05:29:19 +0000 2020,-97.152676,49.853805
 Wed Jun 10 05:29:35 +0000 2020,-0.070603,51.464686
 Wed Jun 10 05:29:47 +0000 2020,-79.27257,43.629311
 Wed Jun 10 05:29:49 +0000 2020,-1.89064,52.493966
 Wed Jun 10 05:29:52 +0000 2020,-105.55089,38.997936
 Wed Jun 10 05:30:06 +0000 2020,-77.036549,38.900713
 Wed Jun 10 05:30:17 +0000 2020,-73.98202,40.75164
 Wed Jun 10 05:30:53 +0000 2020,-89.223209,37.717654
 Wed Jun 10 05:30:58 +0000 2020,-122.061771,47.678813
 Wed Jun 10 05:31:39 +0000 2020,36.86362,-1.274863
 Wed Jun 10 05:31:46 +0000 2020,-120.862479,37.499596
 Wed Jun 10 05:32:22 +0000 2020,-77.036549,38.900713
 Wed Jun 10 05:32:29 +0000 2020,-121.641268,36.689149
 Wed Jun 10 05:32:44 +0000 2020,-121.641268,36.689149
 Wed Jun 10 05:23:22 +0000 2020,104.455135,0.899944
 Wed Jun 10 05:23:22 +0000 2020,-0.260915,51.344775
 Wed Jun 10 05:23:31 +0000 2020,36.80341,-1.16659
 Wed Jun 10 05:23:32 +0000 2020,-71.104136,42.446116
 Wed Jun 10 05:23:57 +0000 2020,-1.89064,52.493966
 Wed Jun 10 05:24:10 +0000 2020,-0.189289,51.410876
 Wed Jun 10 05:24:11 +0000 2020,-83.034363,42.669887
 Wed Jun 10 05:24:21 +0000 2020,-1.449612,53.383164
 Wed Jun 10 05:24:32 +0000 2020,-118.411907,34.020789
 Wed Jun 10 05:24:50 +0000 2020,35.849514,33.873365
 Wed Jun 10 05:24:50 +0000 2020,-105.605821,41.308163
 Wed Jun 10 05:25:24 +0000 2020,-96.063634,36.090902
 Wed Jun 10 05:25:30 +0000 2020,-73.933721,40.644027
 Wed Jun 10 05:25:38 +0000 2020,-82.063185,33.440717
 Wed Jun 10 05:25:52 +0000 2020,-91.401008,30.937336
 Wed Jun 10 05:26:09 +0000 2020,-112.379447,33.646654
 Wed Jun 10 05:26:28 +0000 2020,-88.009557,42.894304
 Wed Jun 10 05:26:54 +0000 2020,-122.805579,45.484892
 Wed Jun 10 05:26:55 +0000 2020,-71.088712,42.31367
 Wed Jun 10 05:26:57 +0000 2020,-119.228992,34.289689
 Wed Jun 10 05:27:01 +0000 2020,-87.997808,42.011932
 Wed Jun 10 05:27:01 +0000 2020,72.874244,19.17414
 Wed Jun 10 05:27:02 +0000 2020,-75.619213,6.270883
 Wed Jun 10 05:27:11 +0000 2020,36.86362,-1.274863
 Wed Jun 10 05:27:20 +0000 2020,-112.124676,33.552863
 Wed Jun 10 05:27:25 +0000 2020,10.608773,44.803387
 Wed Jun 10 05:27:44 +0000 2020,-106.632718,35.117002
 Wed Jun 10 05:28:17 +0000 2020,-121.4947,38.577
 Wed Jun 10 05:28:28 +0000 2020,-84.433106,33.767195
 Wed Jun 10 05:28:30 +0000 2020,-93.340756,45.108096
 Wed Jun 10 05:28:49 +0000 2020,-73.93387,41.633449
 Wed Jun 10 05:28:51 +0000 2020,-73.933721,40.644027
 Wed Jun 10 05:28:55 +0000 2020,-0.260915,51.344775
 Wed Jun 10 05:29:19 +0000 2020,-97.152676,49.853805
 Wed Jun 10 05:29:35 +0000 2020,-0.070603,51.464686
 Wed Jun 10 05:29:47 +0000 2020,-79.27257,43.629311
 Wed Jun 10 05:29:49 +0000 2020,-1.89064,52.493966
 Wed Jun 10 05:29:52 +0000 2020,-105.55089,38.997936
 Wed Jun 10 05:30:06 +0000 2020,-77.036549,38.900713
 Wed Jun 10 05:30:17 +0000 2020,-73.98202,40.75164
 Wed Jun 10 05:30:53 +0000 2020,-89.223209,37.717654
 Wed Jun 10 05:30:58 +0000 2020,-122.061771,47.678813
 Wed Jun 10 05:31:39 +0000 2020,36.86362,-1.274863
 Wed Jun 10 05:31:46 +0000 2020,-120.862479,37.499596
 Wed Jun 10 05:32:22 +0000 2020,-77.036549,38.900713
 Wed Jun 10 05:32:29 +0000 2020,-121.641268,36.689149
 Wed Jun 10 05:32:44 +0000 2020,-121.641268,36.689149
